"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dm_subjid,subject_characteristics,,text,"Subject Number",,,,,,,,y,,,,,
dm_usubjid,subject_characteristics,,text,"Subject ID",,,subject_id_prio,,,,,y,,,,,
contact_nxmesg,subject_characteristics,,descriptive,"<div class='blue'>Contact Information</div>",,,,,,,,,,,,,
optin1_sctestcd,subject_characteristics,,descriptive,OPTIN1,,,,,,,"0 = 1",,,,,,
optin1_sctest,subject_characteristics,,descriptive,"Survey contact method",,,,,,,"0 = 1",,,,,,
optin1_scorres,subject_characteristics,,radio,"Survey contact method","EMAIL, Email | PHONE, Phone call",,,,,,,y,,,,,
email_sctestcd,subject_characteristics,,descriptive,EMAIL,,,,,,,"0 = 1",,,,,,
email_sctest,subject_characteristics,,descriptive,"Email address",,,,,,,"0 = 1",,,,,,
email_scorres,subject_characteristics,,text,"Email address",,,email,,,y,,y,,,,,
phone_sctestcd,subject_characteristics,,descriptive,PHONE,,,,,,,"0 = 1",,,,,,
phone_sctest,subject_characteristics,,descriptive,"Phone number",,,,,,,"0 = 1",,,,,,
phone_scorres,subject_characteristics,,text,"Phone number",,,phone,,,y,,y,,,,,
phone2_sctestcd,subject_characteristics,,descriptive,PHONE2,,,,,,,"0 = 1",,,,,,
phone2_sctest,subject_characteristics,,descriptive,"Alternate phone number",,,,,,,"0 = 1",,,,,,
phone2_scorres,subject_characteristics,,text,"Alternate phone number",,,phone,,,y,,y,,,,,
patient_nxmesg,subject_characteristics,,descriptive,"<div class='blue'>Patient Information</div>",,,,,,,,,,,,,
fname_sctestcd,subject_characteristics,,descriptive,FNAME,,,,,,,"0 = 1",,,,,,
fname_sctest,subject_characteristics,,descriptive,"First name",,,,,,,"0 = 1",,,,,,
fname_scorres,subject_characteristics,,text,"First name",,,,,,y,,y,,,,,
lname_sctestcd,subject_characteristics,,descriptive,LNAME,,,,,,,"0 = 1",,,,,,
lname_sctest,subject_characteristics,,descriptive,"Last name",,,,,,,"0 = 1",,,,,,
lname_scorres,subject_characteristics,,text,"Last name",,,,,,y,,y,,,,,
street_sctestcd,subject_characteristics,,descriptive,STREET,,,,,,,"0 = 1",,,,,,
street_sctest,subject_characteristics,,descriptive,Street,,,,,,,"0 = 1",,,,,,
street_scorres,subject_characteristics,,text,Street,,,,,,y,,y,,,,,
street1_sctestcd,subject_characteristics,,descriptive,STREET1,,,,,,,"0 = 1",,,,,,
street1_sctest,subject_characteristics,,descriptive,Street,,,,,,,"0 = 1",,,,,,
street1_scorres,subject_characteristics,,text,Street,,,,,,y,,,,,,,
city_sctestcd,subject_characteristics,,descriptive,CITY,,,,,,,"0 = 1",,,,,,
city_sctest,subject_characteristics,,descriptive,City,,,,,,,"0 = 1",,,,,,
city_scorres,subject_characteristics,,text,City,,,,,,y,,y,,,,,
state_sctestcd,subject_characteristics,,descriptive,STATE,,,,,,,"0 = 1",,,,,,
state_sctest,subject_characteristics,,descriptive,State,,,,,,,"0 = 1",,,,,,
state_scorres,subject_characteristics,,text,State,,,,,,y,,y,,,,,
zip_sctestcd,subject_characteristics,,descriptive,ZIP,,,,,,,"0 = 1",,,,,,
zip_sctest,subject_characteristics,,descriptive,"Zip code",,,,,,,"0 = 1",,,,,,
zip_scorres,subject_characteristics,,text,"Zip code",,,zipcode,,,y,,y,,,,,
insur_sctestcd,subject_characteristics,,descriptive,INSURTYP,,,,,,,"0 = 1",,,,,,
insur_sctest,subject_characteristics,,descriptive,"Insurance type",,,,,,,"0 = 1",,,,,,
insur_scorres,subject_characteristics,,checkbox,"Insurance type","PRIVATE, Private | MEDICARE, Medicare | MEDICAID, Medicaid | SUPPLEMENTAL, Supplemental | UNINSURED, Uninsured | UNKNOWN, Unknown",,,,,,,y,,,,,
dm_brthdtc,subject_characteristics,,text,"Date of Birth",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
dm_sex,subject_characteristics,,radio,Sex,"F, Female | M, Male",,,,,,,y,,,,,
clin_nxmesg,subject_characteristics,,descriptive,"<div class='blue'>Clinical Information</div>",,,,,,,,,,,,,
chc_mhterm,subject_characteristics,,descriptive,"Chronic Hepatitis C",,,,,,,"0 = 1",,,,,,
chc_mhoccur,subject_characteristics,,radio,"Chronic Hepatitis C diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
hcvgt_lbtest,subject_characteristics,,descriptive,"HCV Genotype",,,,,,,"0 = 1",,,,,,
hcvgt_lbtestcd,subject_characteristics,,descriptive,HCVGT,,,,,,,"0 = 1",,,,,,
hcvgt_lboccur,subject_characteristics,,radio,"HCV genotype available for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
hcvgt_lborres,subject_characteristics,,radio,"HCV genotype ","1a, 1a | 1b, 1b",,,,,,"[hcvgt_lboccur]= 'Y'",y,,,,,
treatexp_mhterm,subject_characteristics,,descriptive,"Hepatitis C Treatment Experienced",,,,,,,"0 = 1",,,,,,
treatexp_mhoccur,subject_characteristics,,radio,"Treatment Experience","N, Naive | Y, Experienced",,,,,,,y,,,,,
hiv_mhterm,subject_characteristics,,descriptive,"HIV infection",,,,,,,"0 = 1",,,,,,
hiv_mhoccur,subject_characteristics,,radio,"HIV Infection diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
hbsag_mhterm,subject_characteristics,,descriptive,"Hepatitis B",,,,,,,"0 = 1",,,,,,
hbsag_mhoccur,subject_characteristics,,radio,"History of HBV infection?","N, NO | Y, YES",,,,,,,y,,,,,
hepcirr_mhterm,subject_characteristics,,descriptive,"Hepatic cirrhosis",,,,,,,"0 = 1",,,,,,
hepcirr_mhoccur,subject_characteristics,,radio,Cirrhosis?,"N, NO | Y, YES",,,,,,,y,,,,,
cp_vstestcd,subject_characteristics,,descriptive,CHPUGH,,,,,,,"0 = 1",,,,,,
cp_vstest,subject_characteristics,,descriptive,"Child-Pugh Score",,,,,,,"0 = 1",,,,,,
cp_nxmesg,subject_characteristics,,descriptive,"<div class='red'>Child Pugh B or C. Subject has failed exclusion criteria. Please verify and/or revise Inclusion/Exclusion form to reflect this result.</div>",,,,,,,"[1_arm_1][cp_vsorres] > '6' AND ([ie_ietestcd] = '' OR [ie_ietestcd] != 'EXCL04')",,,,,,
cp_vsorres,subject_characteristics,,dropdown,"Child-Pugh Score","5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 or higher",,,,,,"[1_arm_1][cp_vsstat] != 'NOT_DONE' AND [1_arm_1][hepcirr_mhoccur] = 'Y'",y,,,,,
cp_vsstat,subject_characteristics,,radio,"Was Child-Pugh score recorded?","NOT_DONE, NO | null, YES",,,,,,"[1_arm_1][cp_vsorres] = '' AND [1_arm_1][hepcirr_mhoccur] = 'Y'",y,,,,,
scrip_nxmesg,subject_characteristics,,descriptive,"<div class='blue'>Prescription Information</div>",,,,,,,,,,,,,
hvn_suppex_rbvpresc,subject_characteristics,Harvoni,radio,"RBV prescribed with Harvoni?","N, NO | Y, YES",,,,,,,y,,,,,
hvn_suppex_trtdur,subject_characteristics,,radio,"Harvoni treatment duration","P8W, 8 Weeks | P12W, 12 Weeks | P24W, 24 Weeks",,,,,,,y,,,,,
vpk_suppex_rbvpresc,subject_characteristics,"Viekira Pak",radio,"RBV prescribed with Viekira Pak?","N, NO | Y, YES",,,,,,,y,,,,,
vpk_suppex_trtdur,subject_characteristics,,radio,"Viekira Pak treatment duration","P12W, 12 Weeks | P24W, 24 Weeks",,,,,,,y,,,,,
zep_rxnxmesg,subject_characteristics,Zepatier,descriptive,"<div class='red'>RAP results not found. Complete Zepatier section of Prescription information after RAP is known.</div>",,,,,,,"[1_arm_1][rap_lboccur] != 'Y'",,,,,,
zep_suppex_rbvpresc,subject_characteristics,,radio,"RBV prescribed with Zepatier?","N, NO | Y, YES",,,,,,"[1_arm_1][rap_lboccur] = 'Y'",y,,,,,
zep_suppex_trtdur,subject_characteristics,,radio,"Zepatier treatment duration","P12W, 12 Weeks | P16W, 16 Weeks",,,,,,"[1_arm_1][rap_lboccur] = 'Y'",y,,,,,
